Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Germany,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
vanilla-cream-with-lemon,,,,,,,,,200 Ml,,Kiwi,,,'964654,10000.0,shopify,10,deny,manual,17.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/10_f441229b-c26e-4d56-baa6-27c3ee7b8de5.jpg?v=1683356299,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_7e8bdeb3-e49c-4ebc-ac79-4722e155ed71.jpg?v=1683356299,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,200 Ml,,Orange,,,'789541,10000.0,shopify,10,deny,manual,18.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/12_35387aaa-931e-4087-842f-954aa9b4b31f.jpg?v=1683356299,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_2ad5f6f7-e197-4567-a039-98542237e428.jpg?v=1683356293,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,500 Ml,,Caret,,,'745125,10000.0,shopify,9,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_7e8bdeb3-e49c-4ebc-ac79-4722e155ed71.jpg?v=1683356299,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/11_42791ba1-da16-400a-913e-017e6366fe28.jpg?v=1683356299,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,500 Ml,,Kiwi,,,'456632,10000.0,shopify,10,deny,manual,18.00,50.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/13_ae6eb279-7e1c-475c-823a-2da03f26c8ca.jpg?v=1683356299,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_7e8bdeb3-e49c-4ebc-ac79-4722e155ed71.jpg?v=1683356299,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,500 Ml,,Orange,,,'241365,10000.0,shopify,10,deny,manual,16.00,25.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/15_5d42f694-b189-4d40-b4f2-d32fe4cde7cd.jpg?v=1683356293,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_2ad5f6f7-e197-4567-a039-98542237e428.jpg?v=1683356293,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,1 Lt,,Caret,,,'478541,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_2ad5f6f7-e197-4567-a039-98542237e428.jpg?v=1683356293,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/11_42791ba1-da16-400a-913e-017e6366fe28.jpg?v=1683356299,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,1 Lt,,Kiwi,,,'778954,10000.0,shopify,0,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/17_d8441918-5240-491d-999e-d3c7c0892f08.jpg?v=1683356293,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_7e8bdeb3-e49c-4ebc-ac79-4722e155ed71.jpg?v=1683356299,kg,,,,,,,,,,,,,,,,
vanilla-cream-with-lemon,,,,,,,,,1 Lt,,Orange,,,'332145,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/18_b9e9f8ab-caa6-4ece-9517-3c83fb7c330c.jpg?v=1683356293,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_2ad5f6f7-e197-4567-a039-98542237e428.jpg?v=1683356293,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,Power box with spinach,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist juice,,"","",true,Size,200 Ml,Flavour,Caret,,,'123456,10000.0,,5,deny,manual,21.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_a0b70264-fb46-45ed-be85-ff95f70fab3a.jpg?v=1683355940,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_a0b70264-fb46-45ed-be85-ff95f70fab3a.jpg?v=1683355940,kg,,30.00,true,true,,,true,,,true,,,true,,,active
copy-of-orange-juice-with-pineapple,,,,,,,,,200 Ml,,Kiwi,,,'964654,10000.0,shopify,10,deny,manual,17.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/7_cd4a073f-a774-4c04-9b01-d7f2474d5f44.jpg?v=1683357727,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_2cb92640-d4ce-4d31-8264-249ea77f446b.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,200 Ml,,Orange,,,'789541,10000.0,shopify,10,deny,manual,18.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/9_6a3a51fb-a0f5-4eee-8579-f392b9a501fc.jpg?v=1683357727,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_b1847cbc-26e6-4d35-bbcd-9eaada481d22.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,500 Ml,,Caret,,,'745125,10000.0,shopify,9,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_2cb92640-d4ce-4d31-8264-249ea77f446b.jpg?v=1683355940,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_a0b70264-fb46-45ed-be85-ff95f70fab3a.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,500 Ml,,Kiwi,,,'456632,10000.0,shopify,10,deny,manual,18.00,50.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/6_1873247c-2abe-4c7d-a893-3b5ab55e62b6.jpg?v=1683355940,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_2cb92640-d4ce-4d31-8264-249ea77f446b.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,500 Ml,,Orange,,,'241365,10000.0,shopify,10,deny,manual,16.00,25.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/4_608752ab-09c4-4d67-b5a0-02c3fb19a007.jpg?v=1683355940,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_b1847cbc-26e6-4d35-bbcd-9eaada481d22.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,1 Lt,,Caret,,,'478541,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_b1847cbc-26e6-4d35-bbcd-9eaada481d22.jpg?v=1683355940,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/8_a0b70264-fb46-45ed-be85-ff95f70fab3a.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,1 Lt,,Kiwi,,,'778954,10000.0,shopify,0,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/3_92077c93-bb98-448c-a318-0a0c7d90e6ef.jpg?v=1683355939,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_2cb92640-d4ce-4d31-8264-249ea77f446b.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
copy-of-orange-juice-with-pineapple,,,,,,,,,1 Lt,,Orange,,,'332145,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/1_462003d0-b7c4-462e-ba16-664da235a6fc.jpg?v=1683355939,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/2_b1847cbc-26e6-4d35-bbcd-9eaada481d22.jpg?v=1683355940,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,Orange juice with pineapple,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist juice,,"","",true,Size,200 Ml,Flavour,Caret,,,'123456,10000.0,,5,deny,manual,17.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_9616fb3e-b46f-4011-a8ee-5e8e1b3c5429.jpg?v=1683355787,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_9616fb3e-b46f-4011-a8ee-5e8e1b3c5429.jpg?v=1683355787,kg,,22.00,true,true,,,true,,,true,,,true,,,active
orange-juice-with-pineapple,,,,,,,,,200 Ml,,Kiwi,,,'964654,10000.0,shopify,10,deny,manual,17.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/4_17b9d7ae-8a46-4e0d-884a-4c33b95c8ef2.jpg?v=1683355787,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_de6bd404-04b9-490d-8a44-adb8772f1031.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,200 Ml,,Orange,,,'789541,10000.0,shopify,10,deny,manual,18.00,,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/6_a76e6efa-c9be-47ab-abfb-7f8ee691333a.jpg?v=1683355787,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_c636ccec-69a7-4740-8c39-9f9f4b68c8c7.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,500 Ml,,Caret,,,'745125,10000.0,shopify,9,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_de6bd404-04b9-490d-8a44-adb8772f1031.jpg?v=1683355787,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_9616fb3e-b46f-4011-a8ee-5e8e1b3c5429.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,500 Ml,,Kiwi,,,'456632,10000.0,shopify,10,deny,manual,18.00,50.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/13_b22dfe3b-fa06-4e64-8207-3e919863f523.jpg?v=1683355787,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_de6bd404-04b9-490d-8a44-adb8772f1031.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,500 Ml,,Orange,,,'241365,10000.0,shopify,10,deny,manual,16.00,25.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/15_351143ab-f217-46fc-807d-5ab36fc9d9d9.jpg?v=1683355787,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_c636ccec-69a7-4740-8c39-9f9f4b68c8c7.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,1 Lt,,Caret,,,'478541,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_c636ccec-69a7-4740-8c39-9f9f4b68c8c7.jpg?v=1683355787,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/5_9616fb3e-b46f-4011-a8ee-5e8e1b3c5429.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,1 Lt,,Kiwi,,,'778954,10000.0,shopify,0,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/17_0f390178-1c47-4278-828c-b2a8925784a8.jpg?v=1683355787,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/14_de6bd404-04b9-490d-8a44-adb8772f1031.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
orange-juice-with-pineapple,,,,,,,,,1 Lt,,Orange,,,'332145,10000.0,shopify,10,deny,manual,18.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/18_f54edca5-153d-4689-b004-ea5576c609f7.jpg?v=1683355787,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_c636ccec-69a7-4740-8c39-9f9f4b68c8c7.jpg?v=1683355787,kg,,,,,,,,,,,,,,,,
blue-magic-with-pineapple,Blue magic with pineapple,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist juice,,"","",true,Size,200 Ml,Flavour,Caret,,,'123456,10000.0,,5,deny,manual,23.00,20.00,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_ef32ca56-5e77-45e1-8cae-446cbae03b3c.jpg?v=1683355244,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/files/16_ef32ca56-5e77-45e1-8cae-446cbae03b3c.jpg?v=1683355244,kg,,35.00,true,true,,,true,,,true,,,true,,,active
