Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / Canada,Compare At Price / Canada,Price / Eurozone,Compare At Price / Eurozone,Price / India,Compare At Price / India,Price / International,Compare At Price / International,Status
red-velvet-cup-cake,,,,,,,,,1kg,,germany,,,7856-2-6-12,0.0,,0,continue,manual,35.00,51.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_2338fb5d-f97d-4ad3-9a39-057222633e84.jpg?v=1661150801,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_59f2fc43-41c9-4469-8647-d3d271ea0aaf.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,2kg,,canada,,,7856-2-6-13,0.0,,0,continue,manual,35.00,51.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_22c1346a-1c3e-4cb8-9b98-c78056f8766c.jpg?v=1661150801,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_be17e2c7-cd84-4a52-871d-828fb74c70ef.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,2kg,,india,,,7856-2-6-14,0.0,,0,continue,manual,35.00,51.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_2338fb5d-f97d-4ad3-9a39-057222633e84.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,2kg,,germany,,,7856-2-6-15,0.0,,0,continue,manual,35.00,51.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_59f2fc43-41c9-4469-8647-d3d271ea0aaf.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,5kg,,canada,,,7856-2-6-16,0.0,,0,continue,manual,35.00,51.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_be17e2c7-cd84-4a52-871d-828fb74c70ef.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,5kg,,india,,,7856-2-6-17,0.0,,0,continue,manual,35.00,51.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_2338fb5d-f97d-4ad3-9a39-057222633e84.jpg?v=1661150801,kg,,,,,,,,,,,
red-velvet-cup-cake,,,,,,,,,5kg,,germany,,,7856-2-6-18,0.0,,0,continue,manual,35.00,51.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/1_59f2fc43-41c9-4469-8647-d3d271ea0aaf.jpg?v=1661150801,kg,,,,,,,,,,,
chocolate-cup-cake,Chocolate cup cake,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist,"Food, Beverages & Tobacco > Food Items > Bakery",,"",true,Size,1kg,Material,canada,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_749e43ae-3625-4e25-86d8-43168a7f495c.jpg?v=1660816397,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_749e43ae-3625-4e25-86d8-43168a7f495c.jpg?v=1660816397,g,,5.00,,,,,,,,,active
chocolate-cup-cake,,,,,,,,,1kg,,india,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_f8cda616-1a3a-4e24-bfc2-950991f02508.jpg?v=1660816397,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_f8cda616-1a3a-4e24-bfc2-950991f02508.jpg?v=1660816397,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,1kg,,germany,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_52f9541b-2c39-4920-8bae-72b8e4d2e103.jpg?v=1660816396,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_52f9541b-2c39-4920-8bae-72b8e4d2e103.jpg?v=1660816396,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,2kg,,canada,,,,11.0,shopify,15,deny,manual,15.00,20.00,true,true,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_dae2ef93-04d3-4c52-b73b-4724c635a02f.jpg?v=1660816396,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_749e43ae-3625-4e25-86d8-43168a7f495c.jpg?v=1660816397,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,2kg,,india,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_f8cda616-1a3a-4e24-bfc2-950991f02508.jpg?v=1660816397,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,2kg,,germany,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_52f9541b-2c39-4920-8bae-72b8e4d2e103.jpg?v=1660816396,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,5kg,,canada,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_749e43ae-3625-4e25-86d8-43168a7f495c.jpg?v=1660816397,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,5kg,,india,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_f8cda616-1a3a-4e24-bfc2-950991f02508.jpg?v=1660816397,g,,5.00,,,,,,,,,
chocolate-cup-cake,,,,,,,,,5kg,,germany,,,,11.0,shopify,10,deny,manual,15.00,20.00,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_52f9541b-2c39-4920-8bae-72b8e4d2e103.jpg?v=1660816396,g,,5.00,,,,,,,,,
appetizing-bakery-bread,Appetizing bakery bread,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist,"Food, Beverages & Tobacco > Food Items > Bakery",,"",true,Size,1kg,Material,canada,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_54ab18db-ca26-4488-8ee4-a3da7056669a.jpg?v=1660817632,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_54ab18db-ca26-4488-8ee4-a3da7056669a.jpg?v=1660817632,kg,,,,,,,,,,,active
appetizing-bakery-bread,,,,,,,,,1kg,,india,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_1f9ae5c5-6a00-4b91-9c57-bf35bdf4a9f9.jpg?v=1660817635,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_1f9ae5c5-6a00-4b91-9c57-bf35bdf4a9f9.jpg?v=1660817635,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,1kg,,germany,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_ec751ff7-c799-4b40-b4e0-7d042e4e19f3.jpg?v=1660817636,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_ec751ff7-c799-4b40-b4e0-7d042e4e19f3.jpg?v=1660817636,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,2kg,,canada,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/6_e5b50991-47a3-47b0-95e2-3ae7c887e79c.jpg?v=1660817636,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_54ab18db-ca26-4488-8ee4-a3da7056669a.jpg?v=1660817632,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,2kg,,india,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_1f9ae5c5-6a00-4b91-9c57-bf35bdf4a9f9.jpg?v=1660817635,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,2kg,,germany,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_ec751ff7-c799-4b40-b4e0-7d042e4e19f3.jpg?v=1660817636,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,5kg,,canada,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_54ab18db-ca26-4488-8ee4-a3da7056669a.jpg?v=1660817632,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,5kg,,india,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/7_1f9ae5c5-6a00-4b91-9c57-bf35bdf4a9f9.jpg?v=1660817635,kg,,,,,,,,,,,
appetizing-bakery-bread,,,,,,,,,5kg,,germany,,,"",0.0,shopify,10,continue,manual,15.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/5_ec751ff7-c799-4b40-b4e0-7d042e4e19f3.jpg?v=1660817636,kg,,,,,,,,,,,
copy-of-fresh-apple-5kg,French loaf bread,"<div class=""more-description"">
<h2>More Detail</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>
<div class=""more-description"">
<h2>Key Specification</h2>
<ul>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry</li>
<li>Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsumum is simply dummy text.</li>
<li>type here your detail one by one li more add</li>
<li>has been the industry’s standard dummy text ever since. Lorem Ips</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
<li>Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the ‘s standard dummy text. Lorem Ipsum has been the industry’s standard dummy text ever since. Lorem Ipsum is simply dummy text.</li>
</ul>
</div>",Vegist,"Food, Beverages & Tobacco > Food Items > Bakery",,"",true,Size,2kg,Material,india,,,01133-9-9,0.0,shopify,10,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_300650c1-c207-4853-99e4-5ba551de04de.jpg?v=1661150647,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_300650c1-c207-4853-99e4-5ba551de04de.jpg?v=1661150647,kg,,,,,,,,,,,active
copy-of-fresh-apple-5kg,,,,,,,,,2kg,,canada,,,01133-9-10,0.0,shopify,10,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/8_a0f2f856-ca56-4cb8-a417-4ce06fcad0e7.jpg?v=1661487564,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/2_fcae69cf-9c18-4917-b586-6ca0e2fc45c6.jpg?v=1661487564,kg,,,,,,,,,,,
copy-of-fresh-apple-5kg,,,,,,,,,3kg,,india,,,01133-9-11,0.0,shopify,10,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/2_fcae69cf-9c18-4917-b586-6ca0e2fc45c6.jpg?v=1661487564,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/3_300650c1-c207-4853-99e4-5ba551de04de.jpg?v=1661150647,kg,,,,,,,,,,,
copy-of-fresh-apple-5kg,,,,,,,,,3kg,,canada,,,01133-9-12,0.0,shopify,10,deny,manual,14.00,,true,true,"",https://cdn.shopify.com/s/files/1/0412/8151/9765/products/4_f737a38b-54b5-493e-a0f3-d41f8bf021ff.jpg?v=1661487564,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0412/8151/9765/products/2_fcae69cf-9c18-4917-b586-6ca0e2fc45c6.jpg?v=1661487564,kg,,,,,,,,,,,
